,angles,points,dist,comp_time,length
0,1,250,0.7,0.012126,0
1,2,250,0.7,0.045476,0
2,3,250,0.7,0.096682,0
3,4,250,0.7,0.171753,0
4,5,250,0.7,0.235911,0
5,6,250,0.7,0.324995,0
6,7,250,0.7,0.43898,0
7,8,250,0.7,0.560364,0
8,1,500,0.7,0.035515,0
9,2,500,0.7,0.114325,38.605
10,3,500,0.7,0.23135,36.4887
11,4,500,0.7,0.393073,32.2348
12,5,500,0.7,0.602367,31.1639
13,6,500,0.7,0.880959,32.2577
14,7,500,0.7,1.15884,28.2538
15,8,500,0.7,1.49723,31.2108
16,1,1000,0.7,0.074282,0
17,2,1000,0.7,0.239115,38.605
18,3,1000,0.7,0.520594,36.4887
19,4,1000,0.7,0.900189,30.3232
20,5,1000,0.7,1.42055,31.1639
21,6,1000,0.7,2.07096,31.6928
22,7,1000,0.7,2.75594,28.2538
23,8,1000,0.7,3.68291,31.2943
24,1,2000,0.7,0.172639,0
25,2,2000,0.7,0.607591,36.5604
26,3,2000,0.7,1.21361,36.4887
27,4,2000,0.7,2.05033,28.2786
28,5,2000,0.7,3.3251,29.9149
29,6,2000,0.7,5.10423,26.2988
30,7,2000,0.7,6.80306,26.2499
31,8,2000,0.7,8.42801,26.0483
32,1,4000,0.7,0.402708,0
33,2,4000,0.7,1.47379,36.5604
34,3,4000,0.7,2.60327,36.4887
35,4,4000,0.7,4.54316,28.2786
36,5,4000,0.7,8.30985,29.2952
37,6,4000,0.7,12.142,26.2988
38,7,4000,0.7,17.1475,26.2499
39,8,4000,0.7,22.8832,26.0483
40,1,250,0.8,0.01708,0
41,2,250,0.8,0.069198,33.1283
42,3,250,0.8,0.138526,30.7952
43,4,250,0.8,0.237876,30.9806
44,5,250,0.8,0.371282,30.1797
45,6,250,0.8,0.521656,26.4238
46,7,250,0.8,0.710337,26.6781
47,8,250,0.8,0.92124,26.4475
48,1,500,0.8,0.044499,0
49,2,500,0.8,0.163265,29.4948
50,3,500,0.8,0.360112,29.7649
51,4,500,0.8,0.620437,27.6373
52,5,500,0.8,0.970868,26.8961
53,6,500,0.8,1.37209,25.7339
54,7,500,0.8,1.83742,25.986
55,8,500,0.8,2.42027,25.4368
56,1,1000,0.8,0.107131,0
57,2,1000,0.8,0.406171,29.4948
58,3,1000,0.8,0.894328,29.4106
59,4,1000,0.8,1.52885,27.6373
60,5,1000,0.8,2.36546,26.4614
61,6,1000,0.8,3.34213,25.7339
62,7,1000,0.8,4.52921,25.986
63,8,1000,0.8,5.91628,24.9618
64,1,2000,0.8,0.238003,0
65,2,2000,0.8,0.909398,27.4502
66,3,2000,0.8,1.96144,29.4106
67,4,2000,0.8,3.38891,25.5926
68,5,2000,0.8,5.35628,26.1787
69,6,2000,0.8,7.77626,22.9104
70,7,2000,0.8,10.1729,22.5396
71,8,2000,0.8,12.6999,20.9571
72,1,4000,0.8,0.479346,0
73,2,4000,0.8,1.84621,27.4502
74,3,4000,0.8,4.20507,25.544
75,4,4000,0.8,7.33642,25.5926
76,5,4000,0.8,12.2085,24.9004
77,6,4000,0.8,17.0834,22.6846
78,7,4000,0.8,22.5611,22.1493
79,8,4000,0.8,30.9639,20.6067
80,1,250,0.9,0.021337,0
81,2,250,0.9,0.087774,24.1742
82,3,250,0.9,0.185651,24.3341
83,4,250,0.9,0.30049,23.228
84,5,250,0.9,0.476478,23.3209
85,6,250,0.9,0.668745,23.0855
86,7,250,0.9,0.888022,22.3478
87,8,250,0.9,1.14328,22.2717
88,1,500,0.9,0.049268,0
89,2,500,0.9,0.205956,24.1742
90,3,500,0.9,0.43174,24.3341
91,4,500,0.9,0.741209,23.228
92,5,500,0.9,1.11535,23.361
93,6,500,0.9,1.63655,22.7473
94,7,500,0.9,2.16186,22.103
95,8,500,0.9,2.7962,22.19
96,1,1000,0.9,0.115409,0
97,2,1000,0.9,0.467274,24.1742
98,3,1000,0.9,1.0387,24.3341
99,4,1000,0.9,1.79475,23.228
100,5,1000,0.9,2.76841,23.361
101,6,1000,0.9,4.0358,22.7473
102,7,1000,0.9,5.3517,22.103
103,8,1000,0.9,6.99465,22.19
104,1,2000,0.9,0.259803,0
105,2,2000,0.9,1.06533,22.2727
106,3,2000,0.9,2.36388,24.3341
107,4,2000,0.9,4.23796,21.8155
108,5,2000,0.9,6.48194,21.8285
109,6,2000,0.9,9.18444,19.8479
110,7,2000,0.9,12.4592,19.1126
111,8,2000,0.9,16.1501,19.0836
112,1,4000,0.9,0.615416,56.024
113,2,4000,0.9,2.33992,22.2727
114,3,4000,0.9,5.2496,21.1391
115,4,4000,0.9,9.38925,21.8155
116,5,4000,0.9,15.35,21.8959
117,6,4000,0.9,21.5456,19.5277
118,7,4000,0.9,29.9225,19.1885
119,8,4000,0.9,39.1986,19.1667
120,1,250,1.0,0.034522,44.5234
121,2,250,1.0,0.112723,22.9197
122,3,250,1.0,0.228468,23.3758
123,4,250,1.0,0.385047,22.5419
124,5,250,1.0,0.585186,22.6487
125,6,250,1.0,0.829299,22.4871
126,7,250,1.0,1.11457,22.4118
127,8,250,1.0,1.40881,21.9699
128,1,500,1.0,0.066177,38.317
129,2,500,1.0,0.242329,22.9197
130,3,500,1.0,0.531206,23.3758
131,4,500,1.0,0.916413,21.51
132,5,500,1.0,1.38019,22.7521
133,6,500,1.0,1.96019,21.5306
134,7,500,1.0,2.67402,20.8314
135,8,500,1.0,3.43944,21.7895
136,1,1000,1.0,0.149658,38.3339
137,2,1000,1.0,0.577816,22.9197
138,3,1000,1.0,1.28226,23.3758
139,4,1000,1.0,2.22497,21.51
140,5,1000,1.0,3.46832,22.7521
141,6,1000,1.0,4.93593,21.5306
142,7,1000,1.0,6.61394,21.9518
143,8,1000,1.0,10.073,21.7895
144,1,2000,1.0,0.343492,38.3339
145,2,2000,1.0,1.32703,20.8914
146,3,2000,1.0,2.96502,22.5759
147,4,2000,1.0,5.18567,18.89
148,5,2000,1.0,8.19333,21.5938
149,6,2000,1.0,11.615,18.9602
150,7,2000,1.0,15.7882,18.7736
151,8,2000,1.0,20.372,18.7776
152,1,4000,1.0,0.756938,38.3339
153,2,4000,1.0,2.92936,20.8914
154,3,4000,1.0,7.70738,22.5759
155,4,4000,1.0,12.3142,18.89
156,5,4000,1.0,19.0487,21.5502
157,6,4000,1.0,27.4772,18.9602
158,7,4000,1.0,37.2499,18.7736
159,8,4000,1.0,49.0294,18.7776
160,1,250,1.1,0.030657,33.9772
161,2,250,1.1,0.11579,21.5978
162,3,250,1.1,0.243681,22.8112
163,4,250,1.1,0.430282,21.5978
164,5,250,1.1,0.658469,21.9964
165,6,250,1.1,0.932357,21.5558
166,7,250,1.1,1.25929,21.4964
167,8,250,1.1,1.68945,21.3772
168,1,500,1.1,0.079911,28.9038
169,2,500,1.1,0.289221,20.6826
170,3,500,1.1,0.635994,22.8112
171,4,500,1.1,1.08406,20.7856
172,5,500,1.1,1.68966,22.0998
173,6,500,1.1,2.37753,20.6657
174,7,500,1.1,3.22671,19.548
175,8,500,1.1,4.13819,20.2817
176,1,1000,1.1,0.185001,28.9038
177,2,1000,1.1,0.688711,20.6896
178,3,1000,1.1,1.52118,22.8112
179,4,1000,1.1,2.65116,21.1934
180,5,1000,1.1,4.15161,22.0998
181,6,1000,1.1,5.83627,20.4515
182,7,1000,1.1,7.84388,19.5296
183,8,1000,1.1,10.1403,20.6072
184,1,2000,1.1,0.4122,28.9038
185,2,2000,1.1,1.6032,20.2616
186,3,2000,1.1,4.39466,22.1137
187,4,2000,1.1,7.24931,20.9387
188,5,2000,1.1,9.81919,20.777
189,6,2000,1.1,13.9535,19.2952
190,7,2000,1.1,18.8629,18.9171
191,8,2000,1.1,23.9693,20.6537
192,1,4000,1.1,0.865969,28.9038
193,2,4000,1.1,3.48446,20.2616
194,3,4000,1.1,8.18201,22.5915
195,4,4000,1.1,14.4274,20.9387
196,5,4000,1.1,22.6118,20.6406
197,6,4000,1.1,35.4704,19.2952
198,7,4000,1.1,45.2072,18.9171
199,8,4000,1.1,58.7238,21.1131
